iso3,gcm,scenario,variable,from_year,to_year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
CHL,bccr_bcm2_0,a2,tas,2040,2059,55.514332364,56.103316286,53.683857068,49.7049366542,44.8585289006,41.6501885552,40.228368376999995,40.8917532776,42.5304474962,45.0759434288,49.4729534696,53.110406065999996
CHL,bccr_bcm2_0,b1,tas,2040,2059,55.050598472000004,55.362954488,53.410424035999995,49.047541264399996,44.7657130652,41.052162497,39.9260972156,40.692222923,41.7613996238,44.7263123648,48.7714273718,52.417903460000005
CHL,bccr_bcm2_0,a2,tas,2060,2079,56.688127358,57.27076961,55.111294994000005,50.409109274,45.9544514252,42.3311427518,41.1491001668,42.1296613412,43.8727737434,46.4647045676,50.453222324,54.416746202
CHL,bccr_bcm2_0,b1,tas,2060,2079,55.869745964,56.311062836,53.81147309000001,49.872949001600006,45.4227023534,41.6733334124,40.0469105318,40.925600978,42.7492598396,45.347613744200004,49.592309135,53.079719864
CHL,bccr_bcm2_0,a2,tas,2080,2099,58.411997978,59.134314722,56.884174447999996,52.305016982,47.9502503528,44.3822421488,42.846043505,43.835061209,45.280775669,48.0684916904,52.315013551999996,56.110987093999995
CHL,bccr_bcm2_0,b1,tas,2080,2099,56.163250616,56.634313964,54.53394089,50.139375314,45.3244767332,42.2197541366,40.5132419048,41.9279366624,43.10857751,45.9820683068,50.20249568,53.523703868
DEU,bccr_bcm2_0,a2,tas,2020,2039,31.6125671378,31.2743804936,33.90914093,41.352485351,51.78327881,59.597499686,64.295978702,62.386618046,54.832056277999996,46.5034637444,38.550985412,34.8770391854
DEU,bccr_bcm2_0,b1,tas,2020,2039,30.940906982,31.3253158568,33.6545245364,41.044876403,51.131913151999996,60.513484802,64.70767212800001,63.294377143999995,55.635456235999996,47.3061029054,37.8672705086,34.5588504026
DEU,bccr_bcm2_0,a2,tas,2040,2059,33.5775213626,32.733279725,36.6881491094,43.5056051642,51.502534178000005,61.282159736,65.470266122,63.161085506,55.180042717999996,47.9808364874,39.8550817868,34.6583233634
DEU,bccr_bcm2_0,b1,tas,2040,2059,32.9122222898,32.6549746706,34.0445062256,40.8746459966,51.065813911999996,60.383648371999996,65.188326722,62.026661984,55.072170716,48.998469848,39.559203491,34.5627780152
