iso3,gcm,scenario,variable,from_year,to_year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
CAN,bccr_bcm2_0,a2,tas,2080,2099,45.512315989009984,41.85888578321118,40.49655016289395,36.87369639412296,36.54807473104509,36.37120529424946,37.29163716300569,36.731793873270846,37.87769392169923,40.674900142483246,44.382139492348344,46.8244909617918
CAN,bccr_bcm2_0,b1,tas,2080,2099,39.003600203717355,35.103625043024735,35.63787347512149,35.559341130491376,34.464720173820425,34.45944975305807,34.78505903400359,34.33249993996546,35.404697215596045,36.08829586341711,37.1648928482806,39.66634112748941
CHL,bccr_bcm2_0,a2,tas,2020,2039,33.305968366350186,33.1458808898929,33.28947808401946,33.04291839599599,32.78771678379568,33.012013462611606,33.229213169642854,33.24167088099864,33.54963531494154,33.32914559500569,33.56209400721922,33.21981691632934
CHL,bccr_bcm2_0,b1,tas,2020,2039,33.20262331281407,33.13375669206854,33.03772048950183,33.04677636282798,32.76199406215122,32.48001425606878,33.1309326171876,33.44589396885448,33.503475080217456,33.51748951503201,33.388173566545134,32.99714562552311
CHL,bccr_bcm2_0,a2,tas,2040,2059,34.467342921664795,34.473347146171044,34.227449580601494,34.14389070783306,33.85880137852166,33.9595970153809,34.3084757123668,34.388579777309054,34.44599118913832,34.229992130824776,34.600353022985004,34.44732622418971
CHL,bccr_bcm2_0,b1,tas,2040,2059,34.003609030588585,33.732985360281994,33.954016549247406,33.48649531773153,33.76598554338662,33.36157095772881,34.0062045506068,34.189049421038526,33.67694331577818,33.880361066545646,33.898826926095865,33.75482363019696
CHL,bccr_bcm2_0,a2,tas,2060,2079,35.64113791329468,35.6408004760745,35.65488749912889,34.84806333269434,34.9547239031098,34.64055121285641,35.22920750209214,35.62648784092368,35.78831743512746,35.61875326973975,35.58062188284768,35.753666360037286
CHL,bccr_bcm2_0,b1,tas,2060,2079,34.822756522042575,34.681093706403466,34.355065590993455,34.31190305437259,34.42297483171721,33.98274187360539,34.12701786586273,34.422427477156646,34.66480353219159,34.50166244506837,34.719708687918285,34.416640036447184
CHL,bccr_bcm2_0,a2,tas,2080,2099,37.365008544921395,37.50434559413407,37.427766963413,36.74397103445879,36.95052283150903,36.69165060860943,36.92615083966882,37.33188770839164,37.19631936209482,37.22254039219421,37.442413112095466,37.447907257079855
CHL,bccr_bcm2_0,b1,tas,2080,2099,35.11626118251318,35.00434483119339,35.07753339495018,34.57832935878153,34.32474921090216,34.52916259765625,34.59334923880559,35.424763161795504,35.024121202742215,35.136117008753,35.329895237513654,34.86062404087603
